Company,Industry,Revenue ($M),Employees,Location
Company567,Agritech,6.81,31,"Los Angeles, CA"
Company568,Logistics,7.53,131,"Austin, TX"
Company569,Marketing,5.88,46,"Denver, CO"
Company570,E-commerce,7.74,47,"San Francisco, CA"
Company571,AI,9.38,64,"Miami, FL"
Company572,Fintech,8.78,94,"Chicago, IL"
Company573,Edtech,7.94,38,"Los Angeles, CA"
Company574,E-commerce,0.55,157,"Boise, ID"
Company575,Retail,6.0,42,"Denver, CO"
Company576,Healthtech,7.86,188,"Miami, FL"
Company577,Retail,8.47,97,"Denver, CO"
Company578,Retail,2.13,108,"New York, NY"
Company579,Logistics,8.99,29,"Los Angeles, CA"
Company580,AI,8.73,174,"Austin, TX"
Company581,Retail,9.88,143,"Chicago, IL"
Company582,Healthtech,9.14,20,"Chicago, IL"
Company583,E-commerce,4.26,74,"Miami, FL"
Company584,Fintech,6.1,155,"Seattle, WA"
Company585,AI,8.17,190,"Seattle, WA"
Company586,AI,0.51,34,"Boise, ID"
Company587,Marketing,8.01,196,"Austin, TX"
Company588,Edtech,4.35,198,"Denver, CO"
Company589,Healthtech,2.17,122,"Seattle, WA"
Company590,Fintech,9.06,120,"New York, NY"
Company591,Fintech,7.8,50,"Denver, CO"
Company592,Retail,1.27,161,"San Francisco, CA"
Company593,Agritech,5.32,136,"Los Angeles, CA"
Company594,E-commerce,3.94,187,"Austin, TX"
Company595,E-commerce,7.14,110,"Miami, FL"
Company596,Healthtech,2.05,187,"New York, NY"
Company597,Logistics,4.83,141,"Boise, ID"
Company598,Edtech,7.31,137,"New York, NY"
Company599,E-commerce,7.07,66,"San Francisco, CA"
Company600,Edtech,7.37,131,"Austin, TX"
Company601,Agritech,6.21,122,"Seattle, WA"
Company602,Healthtech,9.12,75,"Denver, CO"
Company603,Logistics,9.84,194,"Austin, TX"
Company604,Healthtech,2.85,99,"Los Angeles, CA"
Company605,Edtech,5.34,170,"Chicago, IL"
Company606,AI,4.37,75,"Chicago, IL"
Company607,Retail,4.65,20,"Seattle, WA"
Company608,Fintech,3.47,38,"Miami, FL"
Company609,AI,7.03,117,"Chicago, IL"
Company610,Retail,2.93,131,"San Francisco, CA"
Company611,Retail,6.76,36,"Austin, TX"
Company612,Marketing,5.25,80,"Seattle, WA"
Company613,E-commerce,8.98,56,"Los Angeles, CA"
Company614,Logistics,2.8,153,"Boise, ID"
Company615,Marketing,7.33,100,"Boise, ID"
Company616,Healthtech,7.72,91,"San Francisco, CA"
Company617,Retail,6.7,161,"Boise, ID"
Company618,Logistics,7.76,44,"New York, NY"
Company619,Edtech,7.55,154,"New York, NY"
Company620,Agritech,5.2,136,"Chicago, IL"
Company621,Retail,8.59,27,"San Francisco, CA"
Company622,Agritech,3.71,11,"San Francisco, CA"
Company623,AI,7.62,146,"Miami, FL"
Company624,Edtech,7.71,164,"Boise, ID"
Company625,E-commerce,3.01,26,"New York, NY"
Company626,Retail,9.52,110,"San Francisco, CA"
Company627,Agritech,8.21,107,"Austin, TX"
Company628,Retail,8.79,101,"San Francisco, CA"
Company629,Marketing,1.4,78,"Seattle, WA"
Company630,Marketing,6.76,167,"New York, NY"
Company631,Healthtech,2.23,42,"San Francisco, CA"
Company632,Logistics,1.81,22,"Boise, ID"
Company633,E-commerce,1.66,120,"Miami, FL"
Company634,Healthtech,3.88,21,"San Francisco, CA"
Company635,Marketing,4.84,160,"Austin, TX"
Company636,Edtech,9.2,108,"Chicago, IL"
Company637,Marketing,7.74,111,"Boise, ID"
Company638,Retail,6.08,144,"Austin, TX"
Company639,Retail,5.67,33,"Los Angeles, CA"
Company640,Marketing,9.89,11,"New York, NY"
Company641,Agritech,3.02,176,"Boise, ID"
Company642,E-commerce,0.68,120,"Miami, FL"
Company643,E-commerce,9.04,149,"New York, NY"
Company644,Fintech,9.49,115,"Miami, FL"
Company645,Logistics,4.04,165,"Miami, FL"
Company646,Fintech,8.68,119,"Chicago, IL"
Company647,AI,3.29,140,"Chicago, IL"
Company648,Edtech,8.43,49,"Denver, CO"
Company649,Fintech,6.03,110,"Chicago, IL"
Company650,Agritech,6.93,183,"Seattle, WA"
Company651,AI,7.86,21,"Austin, TX"
Company652,E-commerce,1.28,55,"Seattle, WA"
Company653,Edtech,3.83,193,"Denver, CO"
Company654,E-commerce,1.51,95,"Austin, TX"
Company655,Fintech,5.93,89,"Austin, TX"
Company656,Logistics,3.74,106,"New York, NY"
Company657,Healthtech,4.64,90,"Los Angeles, CA"
Company658,AI,1.31,57,"Austin, TX"
Company659,Marketing,8.96,76,"Denver, CO"
Company660,AI,2.09,179,"Miami, FL"
Company661,Edtech,0.85,178,"Seattle, WA"
Company662,Logistics,4.92,96,"Austin, TX"
Company663,Marketing,5.55,41,"Los Angeles, CA"
Company664,Logistics,2.2,128,"Seattle, WA"
Company665,Edtech,8.36,114,"Denver, CO"
Company666,Healthtech,3.6,191,"Boise, ID"
Company667,Healthtech,0.7,74,"Miami, FL"
Company668,Agritech,4.1,97,"Chicago, IL"
Company669,Retail,9.36,148,"Seattle, WA"
Company670,Retail,3.31,17,"Austin, TX"
Company671,Marketing,7.7,149,"Denver, CO"
Company672,Retail,3.83,163,"Chicago, IL"
Company673,Fintech,5.43,124,"New York, NY"
Company674,Retail,5.5,30,"Boise, ID"
Company675,Marketing,9.43,43,"New York, NY"
Company676,Healthtech,1.55,60,"Denver, CO"
Company677,AI,1.21,14,"Chicago, IL"
Company678,Edtech,4.8,184,"New York, NY"
Company679,AI,9.36,173,"New York, NY"
Company680,E-commerce,6.49,5,"Miami, FL"
Company681,Marketing,2.62,37,"New York, NY"
Company682,Healthtech,2.56,107,"Miami, FL"
Company683,Fintech,3.69,79,"Chicago, IL"
Company684,Edtech,3.17,38,"New York, NY"
Company685,AI,3.6,52,"Chicago, IL"
Company686,AI,7.82,185,"Austin, TX"
Company687,Healthtech,2.83,143,"Boise, ID"
Company688,Marketing,0.93,80,"Miami, FL"
Company689,Healthtech,6.93,37,"Los Angeles, CA"
Company690,Logistics,3.07,123,"Denver, CO"
Company691,Logistics,4.74,122,"Chicago, IL"
Company692,Agritech,5.49,78,"Seattle, WA"
Company693,Logistics,4.53,103,"San Francisco, CA"
Company694,Logistics,2.75,22,"Austin, TX"
Company695,AI,3.44,176,"Los Angeles, CA"
Company696,Healthtech,9.02,73,"Miami, FL"
Company697,Logistics,5.86,168,"Los Angeles, CA"
Company698,Fintech,4.93,119,"Chicago, IL"
Company699,Edtech,9.2,104,"Seattle, WA"
Company700,Marketing,3.33,162,"Seattle, WA"
Company701,Healthtech,2.77,76,"Austin, TX"
Company702,Edtech,3.86,89,"Boise, ID"
Company703,Agritech,5.73,14,"San Francisco, CA"
Company704,Retail,9.94,35,"Los Angeles, CA"
Company705,Edtech,6.87,158,"Chicago, IL"
Company706,Marketing,3.32,49,"New York, NY"
Company707,E-commerce,9.23,40,"Denver, CO"
Company708,Retail,3.01,186,"San Francisco, CA"
Company709,Fintech,4.14,89,"San Francisco, CA"
Company710,Logistics,0.68,101,"Seattle, WA"
Company711,Retail,7.06,130,"New York, NY"
Company712,Logistics,0.69,108,"Miami, FL"
Company713,Logistics,3.07,106,"Austin, TX"
Company714,E-commerce,7.8,62,"San Francisco, CA"
Company715,Agritech,8.32,100,"Denver, CO"
Company716,Agritech,2.55,141,"Los Angeles, CA"
Company717,Retail,0.69,166,"San Francisco, CA"
Company718,Edtech,6.85,186,"Denver, CO"
Company719,Healthtech,4.77,154,"Miami, FL"
Company720,E-commerce,3.48,134,"Boise, ID"
Company721,Healthtech,9.03,5,"Denver, CO"
Company722,Edtech,0.64,141,"Miami, FL"
Company723,Healthtech,9.5,55,"Chicago, IL"
Company724,Edtech,5.82,133,"Boise, ID"
Company725,Logistics,6.38,56,"Denver, CO"
Company726,Retail,3.26,60,"Chicago, IL"
Company727,Marketing,3.37,183,"San Francisco, CA"
Company728,Retail,9.75,85,"Seattle, WA"
Company729,AI,1.15,149,"Los Angeles, CA"
Company730,Agritech,5.49,111,"New York, NY"
Company731,Fintech,7.55,101,"Austin, TX"
Company732,Fintech,4.35,126,"Denver, CO"
Company733,Marketing,4.68,135,"Miami, FL"
Company734,Logistics,6.92,30,"Austin, TX"
Company735,Retail,6.82,101,"Chicago, IL"
Company736,Healthtech,6.55,123,"Chicago, IL"
Company737,Fintech,2.16,13,"Seattle, WA"
Company738,Fintech,3.04,56,"Denver, CO"
Company739,Retail,5.73,104,"Los Angeles, CA"
Company740,Logistics,8.53,75,"Miami, FL"
Company741,Healthtech,9.65,147,"New York, NY"
Company742,AI,5.05,156,"New York, NY"
Company743,Fintech,1.88,27,"San Francisco, CA"
Company744,Agritech,4.14,171,"Boise, ID"
Company745,Healthtech,8.89,180,"New York, NY"
Company746,E-commerce,3.87,23,"Denver, CO"
Company747,Fintech,9.45,39,"Denver, CO"
Company748,Healthtech,2.4,14,"Seattle, WA"
Company749,Retail,6.0,54,"Chicago, IL"
Company750,Retail,6.13,132,"Seattle, WA"
Company751,Marketing,7.97,13,"Austin, TX"
Company752,Healthtech,3.91,5,"San Francisco, CA"
Company753,Healthtech,2.06,114,"Chicago, IL"
Company754,E-commerce,4.58,12,"Denver, CO"
Company755,E-commerce,2.55,37,"San Francisco, CA"
Company756,Marketing,1.61,82,"San Francisco, CA"
Company757,Healthtech,7.98,41,"Los Angeles, CA"
Company758,Agritech,7.5,19,"Los Angeles, CA"
Company759,Healthtech,1.25,19,"Miami, FL"
Company760,AI,2.2,10,"Chicago, IL"
Company761,Edtech,6.4,51,"Chicago, IL"
Company762,Marketing,5.88,152,"San Francisco, CA"
Company763,Edtech,1.75,164,"Denver, CO"
Company764,AI,1.36,90,"Chicago, IL"
Company765,Logistics,5.88,167,"Denver, CO"
Company766,Fintech,7.1,176,"New York, NY"
Company767,Agritech,2.56,21,"Denver, CO"
Company768,Fintech,9.12,193,"San Francisco, CA"
Company769,Fintech,6.86,61,"San Francisco, CA"
Company770,E-commerce,5.3,148,"San Francisco, CA"
Company771,Marketing,3.6,18,"New York, NY"
Company772,Logistics,8.11,134,"Austin, TX"
Company773,Agritech,2.76,174,"Seattle, WA"
Company774,Healthtech,9.5,170,"Miami, FL"
Company775,Agritech,9.69,40,"Denver, CO"
Company776,AI,3.23,187,"San Francisco, CA"
Company777,Agritech,6.44,11,"Miami, FL"
Company778,Fintech,2.86,107,"Miami, FL"
Company779,Edtech,9.27,141,"New York, NY"
Company780,E-commerce,0.62,58,"Austin, TX"
Company781,AI,1.66,8,"Boise, ID"
Company782,Marketing,3.32,125,"Denver, CO"
Company783,AI,0.95,71,"New York, NY"
Company784,Marketing,0.55,25,"Austin, TX"
Company785,Logistics,0.56,92,"New York, NY"
Company786,Edtech,2.87,73,"Seattle, WA"
Company787,Retail,9.38,177,"Seattle, WA"
Company788,Marketing,7.11,109,"Boise, ID"
Company789,AI,1.37,132,"Boise, ID"
Company790,Edtech,1.37,125,"Chicago, IL"
Company791,Fintech,8.54,96,"Seattle, WA"
Company792,Healthtech,5.61,65,"Chicago, IL"
Company793,Edtech,1.06,195,"New York, NY"
Company794,Edtech,8.07,44,"Miami, FL"
Company795,Logistics,4.24,152,"Los Angeles, CA"
Company796,Logistics,9.38,159,"Chicago, IL"
Company797,Agritech,7.91,161,"Denver, CO"
Company798,Healthtech,8.56,94,"Los Angeles, CA"
Company799,AI,8.26,23,"Boise, ID"
Company800,E-commerce,8.98,144,"Austin, TX"
Company801,E-commerce,5.05,119,"Seattle, WA"
Company802,AI,4.24,55,"Chicago, IL"
Company803,Edtech,0.51,41,"Seattle, WA"
Company804,Healthtech,6.36,33,"Los Angeles, CA"
Company805,Marketing,9.71,50,"Austin, TX"
Company806,Agritech,3.41,94,"Miami, FL"
Company807,Fintech,2.93,117,"Austin, TX"
Company808,Fintech,2.05,137,"Los Angeles, CA"
Company809,Retail,1.56,19,"Boise, ID"
Company810,Logistics,8.08,154,"Miami, FL"
Company811,Fintech,6.35,15,"Boise, ID"
Company812,Edtech,9.6,199,"Chicago, IL"
Company813,Fintech,4.25,71,"Seattle, WA"
Company814,Logistics,8.74,85,"Miami, FL"
Company815,E-commerce,8.07,76,"Chicago, IL"
Company816,Agritech,9.86,180,"Los Angeles, CA"
Company817,Healthtech,3.15,12,"Miami, FL"
Company818,Fintech,0.64,38,"Los Angeles, CA"
Company819,Healthtech,9.37,16,"Chicago, IL"
Company820,Marketing,2.57,25,"Seattle, WA"
Company821,E-commerce,9.42,136,"Boise, ID"
Company822,Agritech,7.18,91,"Denver, CO"
Company823,Healthtech,4.5,163,"Miami, FL"
Company824,Marketing,4.18,199,"Chicago, IL"
Company825,E-commerce,7.38,135,"New York, NY"
Company826,Retail,2.57,96,"Seattle, WA"
Company827,Healthtech,9.85,181,"Los Angeles, CA"
Company828,E-commerce,5.29,96,"Denver, CO"
Company829,Marketing,7.64,79,"Chicago, IL"
Company830,Retail,5.32,84,"Los Angeles, CA"
Company831,Retail,2.81,159,"New York, NY"
Company832,Retail,3.5,20,"Seattle, WA"
Company833,Edtech,1.97,28,"Denver, CO"
Company834,AI,7.79,56,"San Francisco, CA"
Company835,Retail,9.2,87,"Austin, TX"
Company836,Agritech,2.21,21,"Boise, ID"
Company837,Retail,6.61,145,"San Francisco, CA"
Company838,Fintech,2.92,94,"San Francisco, CA"
Company839,Marketing,8.34,44,"Miami, FL"
Company840,E-commerce,6.28,122,"Los Angeles, CA"
Company841,Retail,4.19,18,"San Francisco, CA"
Company842,Retail,5.91,169,"Denver, CO"
Company843,Fintech,8.09,177,"Denver, CO"
Company844,Healthtech,4.76,131,"Los Angeles, CA"
Company845,AI,4.84,76,"Seattle, WA"
Company846,Logistics,0.77,13,"Denver, CO"
Company847,Edtech,1.71,9,"Austin, TX"
Company848,Marketing,6.07,27,"Chicago, IL"
Company849,Logistics,1.8,190,"Denver, CO"
Company850,E-commerce,8.39,174,"Denver, CO"
Company851,AI,4.06,66,"Boise, ID"
Company852,AI,0.62,199,"Seattle, WA"
Company853,Logistics,0.9,155,"New York, NY"
Company854,Agritech,1.19,174,"Denver, CO"
Company855,Healthtech,3.97,18,"Seattle, WA"
Company856,Healthtech,4.21,173,"Chicago, IL"
Company857,Logistics,1.64,157,"New York, NY"
Company858,Edtech,4.64,158,"Chicago, IL"
Company859,AI,7.06,192,"San Francisco, CA"
Company860,Fintech,7.17,167,"Chicago, IL"
Company861,Agritech,8.83,73,"Boise, ID"
Company862,Fintech,8.79,49,"Austin, TX"
Company863,Retail,7.76,61,"Seattle, WA"
Company864,Logistics,9.64,151,"San Francisco, CA"
Company865,Marketing,2.6,97,"Los Angeles, CA"
Company866,Fintech,9.65,62,"Miami, FL"
Company867,Marketing,2.14,15,"Denver, CO"
Company868,Agritech,4.07,178,"Chicago, IL"
Company869,Edtech,2.75,53,"Denver, CO"
Company870,Agritech,8.63,129,"Austin, TX"
Company871,Logistics,9.69,148,"Seattle, WA"
Company872,Marketing,4.11,19,"Miami, FL"
Company873,E-commerce,1.74,162,"Denver, CO"
Company874,AI,6.31,180,"Boise, ID"
Company875,Logistics,4.43,175,"Miami, FL"
Company876,Healthtech,3.27,130,"Denver, CO"
Company877,Healthtech,6.7,48,"Austin, TX"
Company878,Marketing,5.57,66,"Chicago, IL"
Company879,Fintech,1.58,133,"Boise, ID"
Company880,Agritech,6.05,148,"New York, NY"
Company881,Healthtech,6.43,144,"Boise, ID"
Company882,Retail,2.48,52,"New York, NY"
Company883,Healthtech,7.28,52,"Seattle, WA"
Company884,Healthtech,1.49,52,"Boise, ID"
Company885,Retail,7.38,82,"Austin, TX"
Company886,Retail,2.63,13,"Los Angeles, CA"
Company887,Marketing,3.62,119,"Chicago, IL"
Company888,Logistics,4.37,70,"Chicago, IL"
Company889,AI,5.38,57,"San Francisco, CA"
Company890,Retail,8.64,44,"New York, NY"
Company891,Fintech,8.67,89,"Seattle, WA"
Company892,Healthtech,5.76,148,"New York, NY"
Company893,Logistics,7.65,130,"New York, NY"
Company894,E-commerce,5.64,171,"Chicago, IL"
Company895,Fintech,8.74,166,"Los Angeles, CA"
Company896,Logistics,9.7,158,"Miami, FL"
Company897,Marketing,9.42,109,"Seattle, WA"
Company898,AI,8.09,15,"New York, NY"
Company899,Fintech,2.54,27,"San Francisco, CA"
Company900,Logistics,9.84,158,"Los Angeles, CA"
Company901,Logistics,7.86,86,"Chicago, IL"
Company902,Edtech,8.24,123,"San Francisco, CA"
Company903,Healthtech,4.86,78,"Seattle, WA"
Company904,Logistics,9.58,64,"Los Angeles, CA"
Company905,AI,1.37,85,"Los Angeles, CA"
Company906,Retail,3.55,30,"New York, NY"
Company907,Fintech,5.66,106,"New York, NY"
Company908,Logistics,3.52,130,"New York, NY"
Company909,E-commerce,3.76,161,"Austin, TX"
Company910,Retail,2.96,43,"Los Angeles, CA"
Company911,E-commerce,7.69,187,"New York, NY"
Company912,E-commerce,1.61,75,"Austin, TX"
Company913,Fintech,1.77,59,"Miami, FL"
Company914,Healthtech,6.52,180,"Seattle, WA"
Company915,Edtech,6.72,188,"Austin, TX"
Company916,Fintech,3.0,42,"San Francisco, CA"
Company917,Logistics,9.02,104,"Boise, ID"
Company918,E-commerce,7.87,139,"Seattle, WA"
Company919,E-commerce,3.92,13,"San Francisco, CA"
Company920,Retail,5.14,198,"Austin, TX"
Company921,Marketing,2.68,131,"San Francisco, CA"
Company922,AI,5.74,143,"Miami, FL"
Company923,Agritech,2.54,154,"Los Angeles, CA"
Company924,Healthtech,2.2,22,"Chicago, IL"
Company925,Logistics,3.96,143,"Chicago, IL"
Company926,Fintech,9.17,102,"Boise, ID"
Company927,Logistics,2.69,12,"Boise, ID"
Company928,Logistics,7.79,74,"Seattle, WA"
Company929,Healthtech,1.11,100,"Austin, TX"
Company930,E-commerce,9.0,95,"Denver, CO"
Company931,Edtech,5.62,139,"San Francisco, CA"
Company932,Retail,4.81,141,"San Francisco, CA"
Company933,Fintech,5.64,180,"New York, NY"
Company934,Logistics,1.29,192,"New York, NY"
Company935,Retail,7.03,195,"Boise, ID"
Company936,Logistics,2.91,192,"Miami, FL"
Company937,Fintech,0.58,58,"Miami, FL"
Company938,AI,3.18,43,"Boise, ID"
Company939,Fintech,2.38,27,"Miami, FL"
Company940,Fintech,9.09,174,"Chicago, IL"
Company941,Edtech,1.62,147,"Austin, TX"
Company942,Fintech,9.59,12,"New York, NY"
Company943,Agritech,4.13,176,"New York, NY"
Company944,Retail,3.88,198,"New York, NY"
Company945,Marketing,9.16,197,"San Francisco, CA"
Company946,Marketing,4.91,28,"Boise, ID"
Company947,Retail,8.17,34,"Boise, ID"
Company948,Agritech,1.02,50,"New York, NY"
Company949,Agritech,9.79,56,"San Francisco, CA"
Company950,Logistics,7.12,195,"Boise, ID"
Company951,AI,8.13,75,"Los Angeles, CA"
Company952,Agritech,8.73,34,"Denver, CO"
Company953,Healthtech,9.79,125,"Austin, TX"
Company954,E-commerce,9.13,27,"Denver, CO"
Company955,Agritech,7.15,47,"Austin, TX"
Company956,Retail,7.51,165,"Boise, ID"
Company957,Marketing,5.4,158,"Boise, ID"
Company958,Agritech,9.83,125,"San Francisco, CA"
Company959,Marketing,5.27,67,"Miami, FL"
Company960,Marketing,4.12,129,"Chicago, IL"
Company961,Agritech,7.39,117,"Boise, ID"
Company962,AI,7.19,169,"Boise, ID"
Company963,Healthtech,0.77,154,"Denver, CO"
Company964,Marketing,8.47,133,"Denver, CO"
Company965,E-commerce,9.82,78,"Austin, TX"
Company966,Edtech,5.58,90,"Boise, ID"
Company967,Retail,6.82,40,"Austin, TX"
Company968,Marketing,6.21,182,"Austin, TX"
Company969,Healthtech,4.72,50,"Chicago, IL"
Company970,E-commerce,8.46,199,"New York, NY"
Company971,Retail,3.07,43,"San Francisco, CA"
Company972,Logistics,3.76,100,"Chicago, IL"
Company973,Logistics,5.41,83,"New York, NY"
Company974,Logistics,4.12,142,"Boise, ID"
Company975,AI,6.2,21,"Los Angeles, CA"
Company976,Logistics,2.1,151,"Denver, CO"
Company977,Retail,5.42,167,"Los Angeles, CA"
Company978,Edtech,2.92,14,"Denver, CO"
Company979,Retail,8.26,117,"Seattle, WA"
Company980,Fintech,6.1,187,"Boise, ID"
Company981,Healthtech,8.44,114,"San Francisco, CA"
Company982,Fintech,2.05,115,"Boise, ID"
Company983,Fintech,1.99,20,"Seattle, WA"
Company984,Marketing,1.15,195,"Chicago, IL"
Company985,Retail,8.5,47,"Seattle, WA"
Company986,Marketing,4.65,129,"Austin, TX"
Company987,AI,6.66,154,"Boise, ID"
Company988,Healthtech,4.1,155,"Miami, FL"
Company989,Marketing,5.04,164,"Miami, FL"
Company990,AI,1.02,114,"San Francisco, CA"
Company991,AI,1.83,188,"Los Angeles, CA"
Company992,Agritech,1.31,192,"Austin, TX"
Company993,Marketing,6.61,191,"Austin, TX"
Company994,Fintech,0.98,129,"Los Angeles, CA"
Company995,Marketing,2.59,5,"New York, NY"
Company996,Edtech,7.34,198,"Los Angeles, CA"
Company997,Marketing,7.03,185,"Boise, ID"
Company998,Marketing,9.66,101,"Denver, CO"
Company999,E-commerce,5.8,126,"New York, NY"
Company1000,Fintech,5.05,100,"Seattle, WA"
